"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2020","44,582.0","45,876.4","45,948.3","44,222.5","1.84M","-2.52%"
"05/14/2020","45,732.5","45,876.4","46,667.3","45,516.8","1.36M","-2.00%"
"05/13/2020","46,667.3","46,020.2","47,098.8","44,582.0","1.95M","1.72%"
"05/12/2020","45,876.4","42,928.2","45,876.4","42,209.1","3.15M","6.87%"
"05/11/2020","42,928.2","42,281.0","43,072.0","41,921.5","1.64M","2.58%"
"05/08/2020","41,849.6","41,705.8","42,784.4","41,633.9","2.03M","1.22%"
"05/07/2020","41,346.2","40,986.7","41,418.2","40,842.9","1.10M","1.77%"
"05/06/2020","40,627.2","40,267.6","40,842.9","40,267.6","1.24M","0.89%"
"05/05/2020","40,267.6","40,842.9","41,058.6","40,051.9","1.05M","-0.89%"
"05/04/2020","40,627.2","40,842.9","41,705.8","40,411.5","365.99K","-0.70%"
"04/29/2020","40,914.8","41,130.5","41,274.3","40,771.0","1.19M","-0.52%"
"04/28/2020","41,130.5","41,705.8","41,993.4","40,986.7","955.23K","-1.38%"
"04/27/2020","41,705.8","43,143.9","43,287.7","41,705.8","1.24M","-2.52%"
"04/24/2020","42,784.4","42,856.3","42,928.2","42,496.8","578.85K","0.17%"
"04/23/2020","42,712.5","43,503.4","43,575.3","42,424.8","845.43K","1.02%"
"04/22/2020","42,281.0","40,411.5","42,352.9","40,411.5","1.16M","1.55%"
"04/21/2020","41,633.9","42,784.4","43,287.7","40,914.8","1.75M","-3.82%"
"04/20/2020","43,287.7","43,863.0","44,006.8","42,784.4","1.63M","0.84%"
"04/17/2020","42,928.2","43,000.1","43,503.4","42,712.5","1.59M","1.19%"
"04/16/2020","42,424.8","42,281.0","42,784.4","41,346.2","829.01K","-0.34%"
"04/15/2020","42,568.7","41,562.0","42,712.5","41,562.0","1.06M","2.96%"
"04/14/2020","41,346.2","41,993.4","41,993.4","40,627.2","987.17K","-0.17%"
"04/13/2020","41,418.2","41,418.2","42,712.5","40,771.0","1.09M","0.00%"
"04/10/2020","41,418.2","41,705.8","42,281.0","40,339.6","1.13M","-0.69%"
"04/09/2020","41,705.8","40,411.5","43,072.0","40,411.5","1.44M","3.20%"
"04/08/2020","40,411.5","39,045.2","40,627.2","39,045.2","1.11M","-1.40%"
"04/07/2020","40,986.7","40,267.6","41,202.4","39,548.6","1.62M","2.70%"
"04/06/2020","39,908.1","39,261.0","39,908.1","38,182.4","1.70M","6.94%"
"04/03/2020","37,319.5","35,593.7","37,391.4","35,378.0","1.16M","6.79%"
"04/01/2020","34,946.6","32,429.8","35,306.1","32,429.8","727.49K","5.88%"
"03/31/2020","33,005.1","33,990.3","35,045.9","31,668.0","794.49K","-2.90%"
